scenario,algorithm,run,num_uavs,num_waypoints,best_cost,path_length,collision_count,collision_penetration,separation_violation,separation_deficit,smoothness,energy_proxy,success,execution_time
S3,ABC,20,3,1,375.2085564886797,365.0983947971831,0,0.0,0,0.0,5.055080845748288,365.85665692404535,1,17.932013511657715
S3,ABC,21,3,1,356.73092681173614,348.50476646207306,0,0.0,0,0.0,4.1130801748315315,349.1217284882978,1,19.13031554222107
S3,ABC,22,3,1,369.0033789241874,361.3328118237308,0,0.0,0,0.0,3.8352835502282865,361.9081043562651,1,18.01872682571411
S3,ABC,23,3,1,371.1446410460886,363.14657259993425,0,0.0,0,0.0,3.9990342230771776,363.7464277333958,1,19.166366815567017
S3,ABC,24,3,1,371.1696925873468,361.4567732753642,0,0.0,0,0.0,4.856459655991313,362.1852422237629,1,17.995715379714966
S3,ABC,25,3,1,368.1538263026936,359.1373763226736,0,0.0,0,0.0,4.508224990009965,359.8136100711751,1,19.193342924118042
S3,ABC,26,3,1,373.8568675245405,365.51407748088195,0,0.0,0,0.0,4.17139502182927,366.13978673415636,1,17.918951988220215
S3,ABC,27,3,1,378.8452575560112,370.1259209327094,0,0.0,0,0.0,4.359668311650886,370.779871179457,1,19.20066785812378
S3,ABC,28,3,1,377.030590270036,368.3299906322829,0,0.0,0,0.0,4.350299818876563,368.9825356051144,1,18.1334285736084
S3,ABC,29,3,1,370.6837488698913,362.6189890695967,0,0.0,0,0.0,4.032379900147293,363.2238460546188,1,19.227463960647583
S3,ABC,30,3,1,368.92337144577834,361.2039702632978,0,0.0,0,0.0,3.8597005912402915,361.7829253519838,1,17.984038829803467
S4,PSO,1,3,3,840.9916087207431,762.7767773940789,0,0.0,0,0.0,39.10741566333214,768.6428897435787,1,11.514289617538452
S4,PSO,2,3,3,571.0735619439142,540.7990650734487,0,0.0,0,0.0,15.137248435232804,543.0696523387336,1,11.437302827835083
S4,PSO,3,3,3,625.5102708946941,597.8558718874253,0,0.0,0,0.0,13.827199503634409,599.9299518129704,1,11.431637048721313
S4,PSO,4,3,3,431.8735354684935,418.4051122477841,0,0.0,0,0.0,6.734211610354729,419.4152439893373,1,11.573936939239502
S4,PSO,5,3,3,507.37129659595047,491.07140631219755,0,0.0,0,0.0,8.14994514187645,492.293898083479,1,10.885008096694946
S4,PSO,6,3,3,536.5915325223339,523.4170988000234,0,0.0,0,0.0,6.587216861155266,524.4051813291967,1,10.339653253555298
S4,PSO,7,3,3,805.0005160839053,756.4619040001002,0,0.0,0,0.0,24.269306041902546,760.1022999063855,1,11.344537734985352
S4,PSO,8,3,3,563.628077531393,536.5142660902791,0,0.0,0,0.0,13.55690572055696,538.5478019483626,1,11.24638032913208
S4,PSO,9,3,3,418.77313640302043,404.489883042777,0,0.0,0,0.0,7.141626680121714,405.5611270447953,1,11.461201667785645
S4,PSO,10,3,3,651.8209703730756,628.7608165895167,0,0.0,0,0.0,11.530076891779444,630.4903281232836,1,11.108770847320557
S4,PSO,11,3,3,752.6022480353638,705.2019795656404,0,0.0,0,0.0,23.70013423486168,708.7569997008696,1,11.384819269180298
S4,PSO,12,3,3,701.8167960942825,654.7349261280461,0,0.0,0,0.0,23.540934983118156,658.2660663755139,1,11.466672420501709
S4,PSO,13,3,3,470.06026374723876,462.87167468160055,0,0.0,0,0.0,3.594294532819095,463.4108188615234,1,11.312714338302612
S4,PSO,14,3,3,490.25936963025225,484.3856852856443,0,0.0,0,0.0,2.936842172303982,484.8262116114899,1,10.166320562362671
S4,PSO,15,3,3,49583.214692476955,630.8025095506355,1,3.8923743884140425,0,0.0,14.334149392951366,632.9526319595782,0,10.988244533538818
S4,PSO,16,3,3,431.079612338384,410.65435497357305,0,0.0,0,0.0,10.212628682405471,412.18624927593385,1,11.414599657058716
S4,PSO,17,3,3,527.5963264603769,504.305040206978,0,0.0,0,0.0,11.645643126699426,506.0518866759829,1,11.440512657165527
S4,PSO,18,3,3,537.363043654923,519.8039888757992,0,0.0,0,0.0,8.77952738956189,521.1209179842334,1,11.120109796524048
S4,PSO,19,3,3,524.9086617538564,502.4721044994038,0,0.0,0,0.0,11.218278627226315,504.15484629348776,1,11.295958518981934
S4,PSO,20,3,3,502.84585386560025,495.20361547257687,0,0.0,0,0.0,3.8211191965117015,495.7767833520536,1,11.052846908569336
S4,PSO,21,3,3,386.240479679568,375.2180724282424,0,0.0,0,0.0,5.511203625662812,376.0447529720918,1,11.414808750152588
